RMSE,label,Model
2911.711539014437,Test,TF-Relu-hl-2-do-False-ep-800
3259.064674301582,Test,TF-Relu-hl-2-do-True-ep-800
4421.796377308261,Test,TF-Relu-hl-1-do-False-ep-800
4516.1365551069875,Test,TF-Relu-hl-1-do-True-ep-800
12607.266406948189,Test,TF-Tanh-hl-1-do-False-ep-800
12611.310077946504,Test,TF-Tanh-hl-1-do-True-ep-800
12612.011180815123,Test,TF-Sigmoid-hl-1-do-False-ep-800
12613.031952515059,Test,TF-Tanh-hl-2-do-False-ep-800
12617.874029358047,Test,TF-Sigmoid-hl-1-do-True-ep-800
12618.813644353255,Test,TF-Tanh-hl-2-do-True-ep-800
12730.180353108764,Test,TF-Sigmoid-hl-2-do-False-ep-800
12819.534089644707,Test,TF-Sigmoid-hl-2-do-True-ep-800
