RMSE,label,Model
3707.0856532434536,Test,TF-Relu-hl-2-do-False-ep-800
3755.122651185404,Test,TF-Relu-hl-2-do-True-ep-800
6094.531587540258,Test,TF-Relu-hl-1-do-True-ep-800
6122.838932399244,Test,TF-Relu-hl-1-do-False-ep-800
13399.13888791729,Test,TF-Tanh-hl-1-do-False-ep-800
13399.32430143745,Test,TF-Tanh-hl-1-do-True-ep-800
13400.183814344842,Test,TF-Tanh-hl-2-do-False-ep-800
13402.299289319282,Test,TF-Sigmoid-hl-1-do-False-ep-800
13402.364705625772,Test,TF-Tanh-hl-2-do-True-ep-800
13404.22117161806,Test,TF-Sigmoid-hl-2-do-False-ep-800
13404.9342928033,Test,TF-Sigmoid-hl-1-do-True-ep-800
13413.68718067754,Test,TF-Sigmoid-hl-2-do-True-ep-800
